"_id","measuretime","topic","payload.value","payload.value_units","payload.input","payload.subID","payload.unitID"
"ObjectId(""60606b725ebb635c20b5d6c2"")","2021-03-28T11:41:38.000Z","u4/301/co2",281,"ppm",112,"ilot3","inside"
"ObjectId(""60606b755ebb635c20b5d6c3"")","2021-03-28T11:41:41.000Z","irit2/366/luminosity",0,"lux",106,"ilot1","inside"
"ObjectId(""60606b765ebb635c20b5d6c4"")","2021-03-28T11:41:42.000Z","u4/301/temperature",23.1,"celsius",103,"ilot1","inside"
"ObjectId(""60606b765ebb635c20b5d6c5"")","2021-03-28T11:41:42.000Z","u4/301/temperature",23,"celsius",108,"ilot2","inside"
"ObjectId(""60606b765ebb635c20b5d6c6"")","2021-03-28T11:41:42.000Z","u4/301/temperature",22.86,"celsius",113,"ilot3","inside"
"ObjectId(""60606b765ebb635c20b5d6c7"")","2021-03-28T11:41:42.000Z","irit2/366/airquality",245102048,"ohm",,"CP1","lcc_sensor_1a81"
"ObjectId(""60606b765ebb635c20b5d6c8"")","2021-03-28T11:41:42.000Z","irit2/366/airquality",12471910,"ohm",,"CP2","lcc_sensor_1a81"
"ObjectId(""60606b765ebb635c20b5d6c9"")","2021-03-28T11:41:42.000Z","irit2/366/airquality",14283633,"ohm",,"CP3","lcc_sensor_1a81"
"ObjectId(""60606b765ebb635c20b5d6ca"")","2021-03-28T11:41:42.000Z","irit2/366/airquality",8005041.5,"ohm",,"CP4","lcc_sensor_1a81"
"ObjectId(""60606b775ebb635c20b5d6cb"")","2021-03-28T11:41:43.000Z","bu/tour_8etg/luminosity",2265,"lux",,"57","auto_a13a"
"ObjectId(""60606b775ebb635c20b5d6cc"")","2021-03-28T11:41:43.000Z","u4/302/luminosity",994,"lux",100,"ilot1","inside"
"ObjectId(""60606b775ebb635c20b5d6cd"")","2021-03-28T11:41:43.000Z","u4/302/luminosity",75,"lux",105,"ilot2","inside"
"ObjectId(""60606b775ebb635c20b5d6ce"")","2021-03-28T11:41:43.000Z","u4/302/luminosity",189,"lux",110,"ilot3","inside"
"ObjectId(""60606b795ebb635c20b5d6cf"")","2021-03-28T11:41:45.000Z","bu/hall/luminosity",17,"lux",,"57","auto_4c24"
"ObjectId(""60606b795ebb635c20b5d6d0"")","2021-03-28T11:41:45.000Z","irit2/360/temperature",22.375,"celsius",,"31","auto_7e65"
"ObjectId(""60606b795ebb635c20b5d6d1"")","2021-03-28T11:41:45.000Z","irit2/360/temperature",23.245,"celsius",,"69","auto_7e65"
"ObjectId(""60606b795ebb635c20b5d6d2"")","2021-03-28T11:41:45.000Z","irit2/360/humidity",31,"%r.H.",,"69","auto_7e65"
"ObjectId(""60606b795ebb635c20b5d6d3"")","2021-03-28T11:41:45.000Z","irit2/366/humidity",31,"%r.H.",104,"ilot1","inside"
"ObjectId(""60606b795ebb635c20b5d6d4"")","2021-03-28T11:41:45.000Z","1cn/rooma/temperature",22.625,"celsius",,"24","auto_4e24"
"ObjectId(""60606b795ebb635c20b5d6d5"")","2021-03-28T11:41:45.000Z","1cn/rooma/temperature",24.135,"celsius",,"69","auto_4e24"
"ObjectId(""60606b795ebb635c20b5d6d6"")","2021-03-28T11:41:45.000Z","1cn/rooma/humidity",26,"%r.H.",,"69","auto_4e24"
"ObjectId(""60606b7a5ebb635c20b5d6d7"")","2021-03-28T11:41:46.000Z","irit2/366/temperature",20.87,"celsius",103,"ilot1","inside"
"ObjectId(""60606b7a5ebb635c20b5d6d8"")","2021-03-28T11:41:46.000Z","irit2/366/co2",340,"ppm",105,"ilot1","inside"
"ObjectId(""60606b7b5ebb635c20b5d6d9"")","2021-03-28T11:41:47.000Z","u4/302/temperature",20.16,"celsius",103,"ilot1","inside"
"ObjectId(""60606b7b5ebb635c20b5d6da"")","2021-03-28T11:41:47.000Z","u4/302/temperature",19.99,"celsius",108,"ilot2","inside"
"ObjectId(""60606b7b5ebb635c20b5d6db"")","2021-03-28T11:41:47.000Z","u4/302/temperature",20.09,"celsius",113,"ilot3","inside"
"ObjectId(""60606b7b5ebb635c20b5d6dc"")","2021-03-28T11:41:47.000Z","u4/302/humidity",36,"%r.H.",104,"ilot1","inside"
"ObjectId(""60606b7b5ebb635c20b5d6dd"")","2021-03-28T11:41:47.000Z","u4/302/humidity",36,"%r.H.",109,"ilot2","inside"
"ObjectId(""60606b7b5ebb635c20b5d6de"")","2021-03-28T11:41:47.000Z","u4/302/co2",248,"ppm",102,"ilot1","inside"
"ObjectId(""60606b7b5ebb635c20b5d6df"")","2021-03-28T11:41:47.000Z","u4/302/humidity",35,"%r.H.",114,"ilot3","inside"
"ObjectId(""60606b7b5ebb635c20b5d6e0"")","2021-03-28T11:41:47.000Z","u4/302/co2",117,"ppm",107,"ilot2","inside"
"ObjectId(""60606b7b5ebb635c20b5d6e1"")","2021-03-28T11:41:47.000Z","u4/302/co2",125,"ppm",112,"ilot3","inside"
"ObjectId(""60606b7c5ebb635c20b5d6e2"")","2021-03-28T11:41:48.000Z","bu/hall/luminosity",58,"lux",,"57","auto_d771"
"ObjectId(""60606b7d5ebb635c20b5d6e3"")","2021-03-28T11:41:49.000Z","bu/068/luminosity",82,"lux",,"57","auto_55a9"
"ObjectId(""60606b7d5ebb635c20b5d6e4"")","2021-03-28T11:41:49.000Z","bu/068/temperature",21.125,"celsius",,"31","auto_55a9"
"ObjectId(""60606b7e5ebb635c20b5d6e5"")","2021-03-28T11:41:50.000Z","irit2/160/luminosity",0,"lux",,"57","auto_1b73"
"ObjectId(""60606b7e5ebb635c20b5d6e6"")","2021-03-28T11:41:50.000Z","u4/300/energy","[0.58,0,33860.33,31.83,31.71,0]","[""m3/hr"",""kW"",""kWh"",""hot_degresC"",""cold_degresC"",""diff_degresC""]",1,"heaters","modbus_rs485"
